230124_fiber-opt* 03:31:35 Parameters 4.000000,4.000000,3.000000,1.000000,1.000000,1.000000,4.000000,3.000000,3.000000,4.000000,4.000000,1.000000,4.000000,4.000000,1.000000,1.000000,3.000000,4.000000,2.000000,1.000000,4.000000,3.000000,2.000000,1.000000,2.000000,1.000000,10.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:36 Parameters 4.000000,4.000000,3.000000,4.000000,1.000000,1.000000,3.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,4.000000,2.000000,3.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,3.000000,4.000000,2.000000,11.000000 Objectives 1226.36869467594
230124_fiber-opt* 03:31:37 Parameters 0.000000,1.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,3.000000,3.000000,1.000000,2.000000,3.000000,3.000000,3.000000,4.000000,2.000000,2.000000,2.000000,1.000000,4.000000,1.000000,2.000000,3.000000,2.000000,16.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:38 Parameters 2.000000,0.000000,1.000000,2.000000,4.000000,2.000000,2.000000,2.000000,3.000000,4.000000,2.000000,3.000000,2.000000,2.000000,2.000000,4.000000,1.000000,1.000000,3.000000,4.000000,4.000000,4.000000,3.000000,1.000000,4.000000,3.000000,17.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:39 Parameters 0.000000,2.000000,4.000000,2.000000,3.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,3.000000,2.000000,3.000000,1.000000,2.000000,2.000000,1.000000,1.000000,3.000000,3.000000,3.000000,4.000000,1.000000,3.000000,18.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:40 Parameters 0.000000,3.000000,2.000000,3.000000,2.000000,3.000000,1.000000,1.000000,4.000000,4.000000,3.000000,1.000000,3.000000,1.000000,4.000000,4.000000,2.000000,4.000000,4.000000,3.000000,2.000000,3.000000,4.000000,1.000000,1.000000,4.000000,13.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:41 Parameters 3.000000,1.000000,1.000000,4.000000,2.000000,4.000000,3.000000,2.000000,2.000000,1.000000,1.000000,2.000000,4.000000,3.000000,1.000000,2.000000,1.000000,4.000000,4.000000,3.000000,2.000000,1.000000,2.000000,3.000000,3.000000,1.000000,15.000000 Objectives 926.368694675941
230124_fiber-opt* 03:31:42 Parameters 4.000000,3.000000,4.000000,2.000000,4.000000,2.000000,2.000000,2.000000,4.000000,2.000000,4.000000,4.000000,1.000000,1.000000,2.000000,4.000000,3.000000,3.000000,4.000000,2.000000,3.000000,2.000000,1.000000,4.000000,2.000000,4.000000,11.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:43 Parameters 1.000000,0.000000,2.000000,3.000000,1.000000,2.000000,1.000000,2.000000,3.000000,2.000000,3.000000,4.000000,1.000000,1.000000,4.000000,2.000000,4.000000,2.000000,2.000000,3.000000,4.000000,1.000000,4.000000,4.000000,4.000000,3.000000,16.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:44 Parameters 2.000000,2.000000,1.000000,1.000000,4.000000,3.000000,1.000000,3.000000,1.000000,1.000000,1.000000,3.000000,3.000000,4.000000,1.000000,2.000000,2.000000,1.000000,1.000000,4.000000,1.000000,2.000000,2.000000,2.000000,3.000000,1.000000,14.000000 Objectives 826.368694675941
